NOM;PRENOM;ADRESSE;COMMUNE;CODE_POSTAL;TELEPHONE;DATE_INSTALL;SPECIALITE
Sabarots;Steve;27 rue d'alençon;Nantes;44200;0436353488;8/9/2005;Généraliste
Bertin;Julien;33 rue des églantines;Nantes;44200;0412234556;24/4/1963;Généraliste
Florimont;Jean-Christophe;12 allée des tanneurs;La Chapelle-sur-Erdre;44240;0926548973;20/4/2011;Généraliste
Plouhinec;Erwann;1 impasse du roc;Saint-Herblain;44800;0411569873;27/9/2007;Généraliste
Chestier;Erwan;56 boulevard jean jaurès;Saint-Herblain;44800;0403214587;4/12/1991;Généraliste
Moizan;Bertrand;6 place de la daurade;Le Loroux-Bottereau;44430;0455932025;26/5/1966;Ophtalmologie
Tétaud;Florent;89 route de paris;Nantes;44300;0468965412;15/4/1990;Généraliste
Bego;Thomas;23 impasse des melèzes;Vertou;44120;0434567890;3/3/1973;Généraliste
Lecuelle;Christophe;55 boulevard jean rieux;Saint-Sébastien-sur-Loire;44230;0925984301;7/12/2014;Généraliste
Huard;Maxime;69 rue vincent lagache;Nantes;44200;0455932016;21/5/1974;Ophtalmologie
Nestour;Henri;45 rue alsace lorraine;Nantes;44300;0455932046;14/1/1980;Cardiologie
Socheleau;Pierrette;8 place des carmes;Bouaye;44830;0455932009;5/11/1961;Neurologie
Fruchard;Charly;24 rue laloubert;Le Loroux-Bottereau;44430;0422356975;8/3/2014;Généraliste
Lamy;Stéphane;21 rue des vergers;Nantes;44200;0933589414;2/7/1988;Généraliste
Tarek;Samir;32 route de vannes;Saint-Julien-de-Concelles;44450;0455932052;28/12/1963;Gynécologie
Renoult;Guillaume;12 rue du marechal joffre;Nantes;44100;0402256890;19/7/1960;Généraliste
James;Sébastien;50 avenue fontaine lestang;Sautron;44880;0906854735;11/10/1960;Généraliste
Cadic;Florian;26 chemin de la gare;Indre;44610;0456985230;5/6/1982;Généraliste
Choimet;Antoine;42 chemin des anciens combattants;Bouaye;44830;0489652100;28/9/2001;Généraliste
Lelievre;Thibault;16 place pinel;Le Pallet;44330;0433441212;20/9/1985;Généraliste
Zidi;Mehdi;33 avenue du champ de mars;Carquefou;44470;0455932001;7/3/2010;Généraliste
Therin;Katell;105 route de rennes;Le Pallet;44330;0498655863;24/5/2014;Généraliste
Vigou;Mathieu;13 place saint etienne;Le Loroux-Bottereau;44430;0433577815;24/8/1966;Généraliste
